route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 1029,Super Fast Non AC Seater (2+3),00:00,05h 35m,05:35,3.2,269
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2518,Swift Deluxe Non AC Air Bus (2+2),00:11,04h 43m,04:54,3.2,309
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,KSRTC (Kerala) - 2368,Low Floor AC Seater 2+2,00:30,05h 19m,05:49,2.4,383
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,
Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,KSRTC (Kerala) - 425,Super Deluxe Non AC Seater Air Bus (2+2),00:20,03h 50m,04:10,1.7,268
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,KSRTC (Kerala) - 528,Super Deluxe Non AC Seater Air Bus (2+2),00:45,03h 55m,04:40,2.9,309
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,KSRTC (Kerala) - 2383,Low Floor AC Seater 2+2,00:55,05h 15m,06:10,2.9,383
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,
Ernakulam to Kozhikode,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 561,Super Deluxe Non AC Seater Air Bus (2+2),00:50,06h 40m,07:30,3.6,306
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 811,Super Fast Non AC Seater (2+3),02:20,06h 05m,08:25,4.9,285
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 368,AC MULTI AXLE,03:05,05h 00m,08:05,3.8,494
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 1126,,03:16,06h 15m,09:31,4.1,273
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,
Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,,,,,,,
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,KSRTC (Kerala) - 581,Super Deluxe Non AC Seater Air Bus (2+2),10:03,06h 40m,16:43,4.6,377
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,KSRTC (Kerala) - 52,SWIFT-GARUDA A/C SEATER BUS,12:01,06h 19m,18:20,3.8,524
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,14:15,06h 50m,21:05,3.1,524
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,KSRTC (Kerala) - 370,,15:25,05h 30m,20:55,3.2,576
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,,,,,,,
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,,,,,,,
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,,,,,,,
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,,,,,,,
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,,,,,,,
Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,KSRTC (Kerala) - 1586,Super Deluxe Non AC Seater Air Bus (2+2),00:36,06h 00m,06:36,3.9,419
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),01:01,06h 35m,07:36,3.9,419
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,KSRTC (Kerala) - 2063,SWIFT-GARUDA A/C SEATER BUS,01:30,06h 05m,07:35,3.9,391
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,KSRTC (Kerala) - 574,,02:00,07h 30m,09:30,3.9,306
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,
Mysore to Kozhikode,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,,,,,,,
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,KSRTC (Kerala) - 96,Swift Deluxe Non AC Air Bus (2+2),00:30,07h 00m,07:30,1.7,475
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,KSRTC (Kerala) - 549,Super Deluxe Non AC Seater Air Bus (2+2),00:50,05h 23m,06:13,3.4,548
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,KSRTC (Kerala) - 170,Swift Deluxe Non AC Air Bus (2+2),01:30,05h 10m,06:40,3.4,475
Kalpetta (kerala) to Bangalore,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,,,,,,,
