route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8678,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,04h 20m,05:20,3.7,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64023,RAJDHANI (A.C. Semi Sleeper),03:15,03h 45m,07:00,3.8,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8676,RAJDHANI (A.C. Semi Sleeper),04:00,05h 30m,09:30,4.1,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8626,RAJDHANI (A.C. Semi Sleeper),04:20,04h 00m,08:20,3.9,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 1318,Lahari A/C sleeper,04:40,05h 00m,09:40,4.6,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8703,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:00,04h 45m,09:45,4.6,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 1951,Lahari A/C sleeper,05:35,05h 25m,11:00,4.3,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 4173,RAJADHANI AC (CONVERTED METRO LUXURY),06:00,05h 40m,11:40,3.8,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8859,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,04h 25m,10:40,4.9,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8725,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:15,05h 40m,11:55,4.5,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8944,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:30,05h 35m,12:05,3.7,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8806,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:35,06h 10m,12:45,4.2,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64643,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:00,04h 40m,11:40,4.3,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 6923,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:00,04h 20m,11:20,3.7,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8817,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:10,06h 10m,13:20,4.8,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64825,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:15,06h 15m,13:30,4.9,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8645,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:00,04h 20m,12:20,4.7,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64594,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:25,06h 00m,14:25,4.5,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8922,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:30,04h 30m,13:00,2.7,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8735,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:30,04h 45m,13:15,3.7,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64557,Deluxe (Non AC Seater 2+2),08:45,05h 05m,13:50,4.9,281
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8654,RAJADHANI AC (CONVERTED METRO LUXURY),08:50,04h 00m,12:50,3.4,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8818,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:00,06h 30m,15:30,3.7,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 7647,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:30,05h 50m,15:20,4.3,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8620,RAJDHANI (A.C. Semi Sleeper),09:30,05h 50m,15:20,2.8,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8612,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:30,04h 20m,13:50,2.9,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 8695,RAJADHANI AC (CONVERTED METRO LUXURY),09:50,04h 00m,13:50,3.2,389
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 64529,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:55,06h 00m,15:55,4.2,320
Hyderabad to Khammam,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,TSRTC - 1322,Lahari A/C sleeper,10:25,05h 55m,16:20,3.6,389
